Distancia (pixeles),medicion 1,medicion 2,medicion 3,medicion 4,medicion 5,medicion 6,medicion 7,medicion 8,medicion 9,medicion 10,medicion 11,medicion 12,medicion 13,medicion 14,medicion 15,medicion 16,medicion 17,medicion 18,medicion 19,medicion 20,medicion 21,medicion 22,medicion 23,medicion 24
197,182.667,189.333,94.333,58.667,113.333,79.0,55.0,47.333,124.0,52.667,137.667,47.0,52.0,114.333,92.333,77.0,28.333000000000002,97.0,104.0,21.333000000000002,19.333,114.667,94.0,104.333
198,181.667,173.0,96.0,65.667,105.333,73.667,55.667,46.333,90.333,64.0,141.667,60.0,68.0,112.0,78.333,93.333,26.333000000000002,103.0,104.667,16.0,22.333000000000002,108.0,86.333,107.667
199,175.0,137.667,96.333,85.0,80.0,69.333,56.667,43.667,81.0,82.667,133.667,71.667,82.333,86.333,95.667,98.667,25.666999999999998,111.0,106.667,12.667,24.666999999999998,104.333,72.667,99.0
200,182.0,140.333,96.333,100.0,58.333,61.667,59.667,41.667,38.0,97.333,135.0,78.0,90.667,70.333,77.0,110.333,42.667,110.333,99.667,12.667,30.666999999999998,99.667,67.333,92.667
201,181.333,166.333,98.667,123.333,68.667,57.333,59.0,43.667,52.333,105.0,127.0,78.0,94.333,46.0,66.333,115.0,55.667,108.0,98.667,12.667,40.333,93.667,56.667,84.667
202,180.333,179.667,98.0,142.0,60.333,52.0,61.333,45.0,49.333,112.0,119.667,74.0,104.333,42.333,50.0,119.333,73.667,110.667,89.667,12.667,49.667,89.667,45.0,83.333
203,183.333,180.0,97.333,143.0,66.667,46.333,61.667,50.0,84.0,108.333,112.0,73.333,106.0,46.0,34.667,125.667,83.0,106.667,84.0,12.667,60.333,74.0,30.666999999999998,71.333
204,185.667,174.0,96.667,122.0,76.667,48.333,62.333,53.0,100.0,106.0,89.0,66.667,103.0,48.667,24.0,124.333,94.333,98.0,72.0,12.667,71.333,71.0,27.0,64.333
205,188.0,172.0,95.333,103.333,92.333,62.0,61.0,55.333,123.0,101.333,88.333,66.0,101.333,66.0,17.667,122.333,98.0,92.333,57.0,15.333,87.667,54.667,18.333,53.333
206,185.667,173.0,95.333,78.333,92.333,76.667,59.333,58.0,143.0,92.0,57.0,49.667,106.0,70.0,40.0,117.333,105.0,82.0,46.333,16.333,83.0,48.333,19.667,43.333
207,185.333,174.0,94.0,48.667,90.0,84.667,58.0,56.667,142.0,79.0,55.0,29.666999999999998,97.667,80.333,58.333,112.667,108.333,72.667,28.666999999999998,23.333000000000002,85.0,33.333,16.333,39.667
208,185.333,173.0,95.333,55.0,94.667,97.0,58.667,57.333,146.0,58.333,41.0,19.667,85.0,80.0,67.0,105.0,110.0,57.667,20.333,29.333000000000002,87.333,23.333000000000002,18.333,25.666999999999998
209,175.333,170.667,91.333,53.667,87.333,115.667,57.0,54.0,142.667,39.667,34.667,16.333,75.667,80.667,88.333,95.667,115.333,41.667,18.667,38.0,89.333,27.333000000000002,20.666999999999998,18.0
210,182.333,173.0,92.667,93.667,79.667,111.333,58.333,50.667,149.667,20.333,55.0,17.0,61.667,89.333,95.333,85.333,110.333,33.667,18.667,41.333,93.0,28.666999999999998,23.0,22.333000000000002
211,181.667,173.0,91.667,152.0,74.0,98.333,57.0,47.667,138.0,17.0,66.0,17.0,42.667,86.667,114.333,69.667,110.333,19.333,17.667,50.667,89.667,28.666999999999998,31.666999999999998,20.333
212,181.667,173.0,91.667,160.667,61.333,90.333,60.333,48.667,135.0,17.0,73.0,20.0,22.0,84.667,123.667,46.333,103.667,17.0,19.667,61.333,89.0,32.667,35.667,25.0
213,182.333,172.0,92.0,163.0,62.667,64.0,61.333,49.333,106.0,17.0,86.0,28.0,20.0,80.0,128.333,39.0,103.0,16.0,34.667,64.0,79.333,45.667,44.0,29.666999999999998
214,179.0,172.0,91.333,159.333,65.333,31.333000000000002,63.0,50.0,95.0,18.667,100.0,53.0,17.0,71.0,136.333,28.0,98.667,19.333,48.667,67.0,72.0,53.667,54.333,41.667
215,171.667,171.667,91.667,159.333,68.333,27.0,62.0,49.667,59.333,25.333000000000002,94.0,62.333,20.333,63.333,137.667,28.0,84.0,28.666999999999998,67.0,66.333,73.333,66.333,66.667,50.667
216,172.667,171.667,92.333,164.333,71.333,19.667,61.333,55.0,29.666999999999998,40.333,96.333,79.0,22.333000000000002,44.0,148.0,29.666999999999998,69.333,53.0,76.333,66.333,58.0,73.333,68.333,58.667
217,177.0,163.667,97.0,168.333,75.333,31.666999999999998,60.333,57.333,18.667,59.667,89.333,89.0,31.666999999999998,25.0,137.0,30.666999999999998,60.667,63.667,90.0,66.0,42.667,79.0,69.333,68.333
218,178.0,170.667,91.667,127.0,76.0,57.333,57.0,59.0,22.0,63.667,88.667,101.333,36.333,21.0,131.667,36.333,45.0,78.333,99.333,66.667,36.667,93.667,71.0,80.667
